run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Desired bank capacity (kWh)",20,40,60,80,100,20,40,60,80,100,20,40,60,80,100,20,40,60,80,100,20,40,60,80,100,20,40,60,80,100
"Desired array size (kWdc)",5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25,30,30,30,30,30
"Electricity load total in each year (kWh)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity load total in each year (kWh)",10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3,10829.3
"Annual energy imported from grid (kWh)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Annual energy imported from grid (kWh)",3526.37,3293.5,3243.83,3216.74,3192.52,1202.1,487.322,337.461,270.662,228.626,736.198,71.3871,12.7871,0.00196113,0.00196113,559.016,30.9053,2.37773,0.00164099,0.00164099,461.828,15.3455,0,0,0,394.288,8.60108,0,0,0
"LCOE Levelized cost of energy real (cents/kWh)",347.818,414.724,468.388,530.951,585.372,240.42,274.442,301.181,332.358,359.521,203.289,225.759,243.494,264.246,282.365,184.796,201.411,214.592,230.035,243.525,173.75,186.933,197.423,209.724,220.471,166.401,177.334,186.047,196.272,205.203
"Net capital cost ($)",35025.2,41666.1,46963.8,53163.1,58549.2,48632.6,55273.6,60571.3,66770.6,72156.7,62240.1,68881,74178.8,80378.1,85764.2,75847.6,82488.5,87786.3,93985.6,99371.6,89455.1,96096,101394,107593,112979,103063,109704,115001,121201,126587
